ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share,,,,,,
3,Foreign Born,4,35 to 44 Years,2016,2016,6254,412,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0416209129,,,,,,
3,Foreign Born,7,60 & 61 Years,2016,2016,606,170,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0040329826,,,,,,
3,Foreign Born,3,25 to 34 Years,2016,2016,5276,533,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.035112238,,,,,,
3,Foreign Born,10,75 Years & Over,2016,2016,1351,194,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0089910223,,,,,,
3,Foreign Born,2,18 to 24 Years,2016,2016,1932,326,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0128576277,,,,,,
3,Foreign Born,6,55 to 59 Years,2016,2016,2167,319,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0144215731,,,,,,
3,Foreign Born,1,5 to 17 Years,2016,2016,1401,349,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0093237766,,,,,,
3,Foreign Born,8,62 to 64 Years,2016,2016,779,173,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0051843126,,,,,,
3,Foreign Born,0,Under 5 Years,2016,2016,101,68,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0006721638,,,,,,
3,Foreign Born,5,45 to 54 Years,2016,2016,5828,389,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.038785846,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",0,Under 5 Years,6045,2015,12065,500,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0799017206,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",30,75 Years & Over,6045,2015,4373,515,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0289606485,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",3,5 to 17 Years,6045,2015,27899,1033,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1847640366,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",27,65 to 74 Years,6045,2015,5917,474,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0391859495,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",6,18 to 24 Years,6045,2015,15087,1007,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0999152307,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",24,62 to 64 Years,6045,2015,2344,409,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0155233844,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",9,25 to 34 Years,6045,2015,19373,1165,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.1282997126,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",21,60 & 61 Years,6045,2015,2329,494,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0154240454,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",12,35 to 44 Years,6045,2015,14508,944,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0960807428,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",18,55 to 59 Years,6045,2015,5464,625,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0361859097,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",15,45 to 54 Years,6045,2015,13542,918,"Kings County, CA",05000US06031,kings-county-ca,Native Born,0.0896833071,,,,,,
3,Foreign Born,0,Under 5 Years,2015,2015,108,88,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0007152413,,,,,,
3,Foreign Born,1,5 to 17 Years,2015,2015,1554,357,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.010291527,,,,,,
3,Foreign Born,2,18 to 24 Years,2015,2015,2163,355,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.014324693,,,,,,
3,Foreign Born,3,25 to 34 Years,2015,2015,5707,552,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0377952026,,,,,,
3,Foreign Born,4,35 to 44 Years,2015,2015,6469,449,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.042841627,,,,,,
3,Foreign Born,5,45 to 54 Years,2015,2015,5698,419,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0377355991,,,,,,
3,Foreign Born,6,55 to 59 Years,2015,2015,2300,296,"Kings County, CA",05000US06031,kings-county-ca,Foreign Born,0.0152319898,,,,,,
