ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share,,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,65 to 74 Years,6051,2017,343835,12946,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0398755703,,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6051,2017,535131,8936,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0620607378,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",18,55 to 59 Years,6051,2017,243479,13965,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0282369857,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",6,18 to 24 Years,6051,2017,582476,17554,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0675514787,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",30,75 Years & Over,6051,2017,282291,14353,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0327381291,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",15,45 to 54 Years,6051,2017,503650,18387,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0584097924,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",9,25 to 34 Years,6051,2017,1012886,26618,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1174674099,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",3,5 to 17 Years,6051,2017,1109638,19516,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1286880278,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",18,55 to 59 Years,6048,2016,238537,13082,"New York, NY",16000US3651000,new-york-ny,Native Born,0.027939346,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",21,60 & 61 Years,6048,2016,95984,7498,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0112424076,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",15,45 to 54 Years,6048,2016,514827,17842,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0603006229,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",0,Under 5 Years,6048,2016,539502,8833,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0631907547,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",24,62 to 64 Years,6048,2016,129562,9816,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0151753294,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",3,5 to 17 Years,6048,2016,1110682,17042,"New York, NY",16000US3651000,new-york-ny,Native Born,0.130091888,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",27,65 to 74 Years,6048,2016,320292,12267,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0375151402,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",12,35 to 44 Years,6048,2016,562589,19521,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0658948873,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",30,75 Years & Over,6048,2016,260895,11269,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0305580924,,,,,,,
3,"Born In Other State In The United States,Born In State of Residence,Native; Born Outside The United States",9,25 to 34 Years,6048,2016,976272,26543,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1143487224,,,,,,,
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,18 to 24 Years,6048,2016,588312,15225,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0689077691,,,,,,,
3,Foreign Born,10,75 Years & Over,2016,2016,240207,5029,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0281349497,,,,,,,
3,Foreign Born,9,65 to 74 Years,2016,2016,334576,6297,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0391881957,,,,,,,
3,Foreign Born,8,62 to 64 Years,2016,2016,148318,5795,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0173721809,,,,,,,
3,Foreign Born,7,60 & 61 Years,2016,2016,108122,4974,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0126641065,,,,,,,
3,Foreign Born,6,55 to 59 Years,2016,2016,274165,8342,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.03211238,,,,,,,
3,Foreign Born,5,45 to 54 Years,2016,2016,591349,9891,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0692634867,,,,,,,
3,Foreign Born,4,35 to 44 Years,2016,2016,612491,10667,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0717398054,,,,,,,
3,Foreign Born,3,25 to 34 Years,2016,2016,556612,13933,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0651948136,,,,,,,
3,Foreign Born,2,18 to 24 Years,2016,2016,184809,7638,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0216462964,,,,,,,
3,Foreign Born,1,5 to 17 Years,2016,2016,134283,8364,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0157282904,,,,,,,
3,Foreign Born,0,Under 5 Years,2016,2016,15287,1986,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0017905347,,,,,,,
3,Foreign Born,4,35 to 44 Years,2015,2015,603129,9712,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0705380622,,,,,,,
3,Foreign Born,0,Under 5 Years,2015,2015,16974,2452,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0019851691,,,,,,,
3,Foreign Born,1,5 to 17 Years,2015,2015,125158,6833,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0146376692,,,,,,,
3,Foreign Born,2,18 to 24 Years,2015,2015,199097,7817,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0232850959,,,,,,,
3,Foreign Born,3,25 to 34 Years,2015,2015,575852,11717,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0673479209,,,,,,,
3,Foreign Born,5,45 to 54 Years,2015,2015,617558,9886,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0722255846,,,,,,,
3,Foreign Born,6,55 to 59 Years,2015,2015,280981,7021,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0328617182,,,,,,,
3,Foreign Born,7,60 & 61 Years,2015,2015,104868,4842,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0122646822,,,,,,,
3,Foreign Born,8,62 to 64 Years,2015,2015,136034,5635,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0159096557,,,,,,,
3,Foreign Born,9,65 to 74 Years,2015,2015,316228,5315,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0369839791,,,,,,,
3,Foreign Born,10,75 Years & Over,2015,2015,236621,5559,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0276736599,,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",21,60 & 61 Years,6045,2015,98418,7901,"New York, NY",16000US3651000,new-york-ny,Native Born,0.011510332,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",27,65 to 74 Years,6045,2015,319225,11834,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0373344888,,,,,,,
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",24,62 to 64 Years,6045,2015,125717,9595,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0147030462,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,75 Years & Over,6045,2015,255437,11954,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0298742574,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",18,55 to 59 Years,6045,2015,242537,12698,"New York, NY",16000US3651000,new-york-ny,Native Born,0.028365557,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",15,45 to 54 Years,6045,2015,501277,17648,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0586261119,,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",0,Under 5 Years,6045,2015,552738,7649,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0646446572,,,,,,,
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",12,35 to 44 Years,6045,2015,583761,18873,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0682729064,,,,,,,
3,"Born In Other State In The United States,Native; Born Outside The United States,Born In State of Residence",3,5 to 17 Years,6045,2015,1109777,15608,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1297923315,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",9,25 to 34 Years,6045,2015,950872,24808,"New York, NY",16000US3651000,new-york-ny,Native Born,0.1112078317,,,,,,,
3,"Native; Born Outside The United States,Born In Other State In The United States,Born In State of Residence",6,18 to 24 Years,6045,2015,598146,14841,"New York, NY",16000US3651000,new-york-ny,Native Born,0.0699552828,,,,,,,
3,Foreign Born,2,18 to 24 Years,2014,2014,207997,6351,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0244959445,,,,,,,
3,Foreign Born,3,25 to 34 Years,2014,2014,571141,11108,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.067263654,,,,,,,
3,Foreign Born,4,35 to 44 Years,2014,2014,600669,10430,"New York, NY",16000US3651000,new-york-ny,Foreign Born,0.0707411861,,,,,,,
