0 32
0 4
0 38
0 40
0 10
0 11
0 15
0 20
0 283
0 733
1 36
1 198
1 12
1 366
1 367
640 95
3 32
3 902
3 41
3 10
3 43
3 12
3 14
3 177
4 902
4 809
4 15
4 812
4 735
902 529
902 10
6 24
6 42
6 12
10 32
10 36
10 29
10 22
11 12
11 530
11 15
11 14
11 20
12 36
12 14
12 15
12 529
12 24
14 32
14 15
15 32
15 24
910 55
529 600
529 366
529 24
529 809
529 198
529 80
530 366
530 80
20 36
20 38
21 41
21 40
21 42
21 327
22 32
24 42
25 41
25 29
29 40
29 36
29 38
415 55
415 333
38 40
422 104
40 42
809 198
41 43
41 367
557 52
557 198
52 198
55 333
60 600
198 333
733 367
