128 375
2 35
2 868
2 7
2 940
2 12
2 909
2 14
2 47
2 18
2 19
2 26
2 27
2 28
2 218
2 30
5 34
5 443
390 94
390 375
7 36
7 10
7 14
7 44
8 34
8 35
8 44
8 19
8 26
10 32
10 36
10 44
10 22
10 35
10 33
10 26
10 28
11 34
11 12
11 302
11 14
11 23
11 26
11 28
12 36
12 33
12 14
12 17
14 32
14 27
14 19
14 30
14 23
653 34
17 33
17 18
17 22
17 26
18 33
18 27
19 36
19 44
22 32
22 35
22 27
22 30
23 25
23 27
408 375
25 27
25 31
26 27
26 30
27 33
27 164
27 375
27 34
27 30
30 868
30 31
31 33
31 302
31 562
32 34
33 705
33 36
33 869
33 553
33 363
33 748
33 594
33 112
34 35
34 562
34 44
34 443
164 858
164 837
164 302
417 375
417 462
553 94
553 705
302 202
302 375
302 218
47 218
688 375
692 375
443 462
202 869
202 375
462 375
856 375
94 375
351 375
